Provider_ID,Name,Type,Address,City,Contact,Food_ID,Food_Name,Quantity,Expiry_Date,Provider_Type,Location,Food_Type,Meal_Type
35,Nguyen-Parsons,Grocery Store,"23683 Paul Groves Suite 174
Vegaville, IA 58578",Andersonmouth,(638)668-6852,997,Fish,22,2025-03-18,Grocery Store,Andersonmouth,Vegetarian,Breakfast
37,Phelps-Schmidt,Catering Service,"689 Riley Villages
South Jose, LA 55827",New Amanda,001-048-886-1039,623,Salad,38,2025-03-29,Catering Service,New Amanda,Vegetarian,Breakfast
37,Phelps-Schmidt,Catering Service,"689 Riley Villages
South Jose, LA 55827",New Amanda,001-048-886-1039,994,Salad,17,2025-03-29,Catering Service,New Amanda,Non-Vegetarian,Snacks
38,Lawrence LLC,Supermarket,"USNS Decker
FPO AE 46703",Perkinsbury,580-888-5964,305,Soup,14,2025-03-30,Supermarket,Perkinsbury,Non-Vegetarian,Breakfast
39,Fernandez-Bridges,Supermarket,"77717 Amanda Plains Apt. 231
Danielberg, CA 13392",Brittanyville,001-714-175-0277x076,134,Rice,1,2025-03-16,Supermarket,Brittanyville,Vegan,Dinner
39,Fernandez-Bridges,Supermarket,"77717 Amanda Plains Apt. 231
Danielberg, CA 13392",Brittanyville,001-714-175-0277x076,446,Bread,9,2025-03-24,Supermarket,Brittanyville,Non-Vegetarian,Snacks
40,Robinson PLC,Restaurant,"59437 Schneider Villages Suite 050
South Derek, NM 07539",Jennifertown,925-882-9055,869,Fish,27,2025-03-20,Restaurant,Jennifertown,Vegan,Snacks
41,Kelly-Ware,Catering Service,"482 Bush Island
Wrightburgh, MI 64397",Bentleyburgh,(033)969-7445x782,376,Vegetables,47,2025-03-25,Catering Service,Bentleyburgh,Vegan,Lunch
41,Kelly-Ware,Catering Service,"482 Bush Island
Wrightburgh, MI 64397",Bentleyburgh,(033)969-7445x782,565,Pasta,36,2025-03-24,Catering Service,Bentleyburgh,Non-Vegetarian,Lunch
41,Kelly-Ware,Catering Service,"482 Bush Island
Wrightburgh, MI 64397",Bentleyburgh,(033)969-7445x782,890,Chicken,40,2025-03-28,Catering Service,Bentleyburgh,Vegan,Lunch
42,Austin-Yu,Grocery Store,"482 Lisa Viaduct
Shirleyberg, IL 95427",East Nicholasbury,+1-392-878-0666x94428,644,Bread,21,2025-03-18,Grocery Store,East Nicholasbury,Non-Vegetarian,Snacks
43,"Martinez, Johnson and Torres",Supermarket,"66956 Carter Lakes Apt. 029
New Matthewview, OK 90573",South Karen,250.919.8579,286,Pasta,37,2025-03-26,Supermarket,South Karen,Vegetarian,Snacks
45,"Butler, Kennedy and Cowan",Catering Service,"Unit 7100 Box 9890
DPO AP 52163",East Deniseborough,(704)033-6760x72290,517,Dairy,4,2025-03-26,Catering Service,East Deniseborough,Vegan,Dinner
46,"Fisher, Hernandez and Webster",Grocery Store,"8490 Valdez Ports Suite 007
Port Jeremy, NV 85800",South Lisaberg,871-801-8397x99626,244,Soup,17,2025-03-26,Grocery Store,South Lisaberg,Non-Vegetarian,Snacks
46,"Fisher, Hernandez and Webster",Grocery Store,"8490 Valdez Ports Suite 007
Port Jeremy, NV 85800",South Lisaberg,871-801-8397x99626,715,Soup,21,2025-03-23,Grocery Store,South Lisaberg,Non-Vegetarian,Breakfast
46,"Fisher, Hernandez and Webster",Grocery Store,"8490 Valdez Ports Suite 007
Port Jeremy, NV 85800",South Lisaberg,871-801-8397x99626,893,Salad,3,2025-03-28,Grocery Store,South Lisaberg,Vegan,Lunch
47,Wong-Reese,Supermarket,"9078 Jeffrey Drive Suite 439
Lake Jasonberg, RI 48655",East Andrewland,483-625-4097,9,Bread,46,2025-03-25,Supermarket,East Andrewland,Non-Vegetarian,Snacks
47,Wong-Reese,Supermarket,"9078 Jeffrey Drive Suite 439
Lake Jasonberg, RI 48655",East Andrewland,483-625-4097,181,Rice,35,2025-03-16,Supermarket,East Andrewland,Non-Vegetarian,Lunch
47,Wong-Reese,Supermarket,"9078 Jeffrey Drive Suite 439
Lake Jasonberg, RI 48655",East Andrewland,483-625-4097,247,Fish,17,2025-03-30,Supermarket,East Andrewland,Non-Vegetarian,Lunch
48,Conway-Barr,Restaurant,"597 Contreras Roads
South Hannah, RI 04553",Timothyview,+1-820-339-5162x911,245,Chicken,5,2025-03-16,Restaurant,Timothyview,Vegetarian,Dinner
49,"Miller, Braun and Graham",Supermarket,"USS Roberts
FPO AE 04254",Lake Traceyburgh,001-704-201-5818x1702,571,Salad,39,2025-03-18,Supermarket,Lake Traceyburgh,Non-Vegetarian,Breakfast
50,Perez-Williams,Catering Service,"956 Joseph Ford Apt. 098
Moorestad, LA 74730",West Danielborough,(305)890-2191x91055,826,Bread,39,2025-03-17,Catering Service,West Danielborough,Vegan,Snacks
50,Perez-Williams,Catering Service,"956 Joseph Ford Apt. 098
Moorestad, LA 74730",West Danielborough,(305)890-2191x91055,888,Salad,6,2025-03-25,Catering Service,West Danielborough,Non-Vegetarian,Snacks
52,Buck-Carey,Supermarket,"3155 Strickland Lakes
Nelsonview, MN 90401",Port Dianaberg,+1-163-218-3619x58525,919,Soup,35,2025-03-26,Supermarket,Port Dianaberg,Non-Vegetarian,Dinner
54,"Bennett, Phillips and Green",Supermarket,"Unit 0882 Box 8764
DPO AE 00627",Lake Rachael,001-350-580-0382x854,126,Dairy,27,2025-03-18,Supermarket,Lake Rachael,Vegan,Lunch
54,"Bennett, Phillips and Green",Supermarket,"Unit 0882 Box 8764
DPO AE 00627",Lake Rachael,001-350-580-0382x854,586,Vegetables,37,2025-03-18,Supermarket,Lake Rachael,Vegetarian,Breakfast
55,Wilson-Brown,Grocery Store,"220 Rachel Trace
Port Mark, AK 17083",Danachester,001-473-163-6196x2386,188,Soup,4,2025-03-20,Grocery Store,Danachester,Vegan,Breakfast
56,Morris Ltd,Catering Service,"03207 Paul Shoals
Thomasshire, AR 89205",Michaelview,654-751-2531x515,590,Fruits,11,2025-03-28,Catering Service,Michaelview,Vegan,Snacks
57,Cook Group,Grocery Store,"6432 Guzman Estates
Lake Rebeccaborough, CA 35184",Port Robin,983-295-7995,531,Salad,42,2025-03-17,Grocery Store,Port Robin,Vegan,Lunch
57,Cook Group,Grocery Store,"6432 Guzman Estates
Lake Rebeccaborough, CA 35184",Port Robin,983-295-7995,778,Dairy,7,2025-03-21,Grocery Store,Port Robin,Non-Vegetarian,Snacks
57,Cook Group,Grocery Store,"6432 Guzman Estates
Lake Rebeccaborough, CA 35184",Port Robin,983-295-7995,863,Fruits,30,2025-03-20,Grocery Store,Port Robin,Vegan,Breakfast
58,"Martin, Tyler and Wilkerson",Grocery Store,"334 Bishop Fort Suite 958
Port Jorge, NM 10652",North Kevinhaven,+1-287-799-5933x17852,152,Fish,46,2025-03-24,Grocery Store,North Kevinhaven,Non-Vegetarian,Dinner
58,"Martin, Tyler and Wilkerson",Grocery Store,"334 Bishop Fort Suite 958
Port Jorge, NM 10652",North Kevinhaven,+1-287-799-5933x17852,166,Soup,9,2025-03-17,Grocery Store,North Kevinhaven,Vegan,Lunch
59,"Warner, White and Morris",Grocery Store,"92097 Simmons Cape
Arthurchester, AL 44273",Marissaville,001-947-280-2490,921,Chicken,6,2025-03-26,Grocery Store,Marissaville,Vegetarian,Snacks
60,Parker-Campbell,Restaurant,"USNS Williams
FPO AE 15960",Wilsonport,(006)958-8829x497,639,Salad,5,2025-03-20,Restaurant,Wilsonport,Non-Vegetarian,Lunch
62,"Mitchell, Campbell and Jones",Grocery Store,"760 Hall Dam
Jenniferstad, MI 28752",Marymouth,001-356-024-1560x512,802,Soup,25,2025-03-22,Grocery Store,Marymouth,Non-Vegetarian,Dinner
62,"Mitchell, Campbell and Jones",Grocery Store,"760 Hall Dam
Jenniferstad, MI 28752",Marymouth,001-356-024-1560x512,962,Soup,13,2025-03-28,Grocery Store,Marymouth,Vegetarian,Breakfast
62,"Mitchell, Campbell and Jones",Grocery Store,"760 Hall Dam
Jenniferstad, MI 28752",Marymouth,001-356-024-1560x512,970,Fruits,26,2025-03-20,Grocery Store,Marymouth,Vegetarian,Breakfast
63,"Fuller, Vincent and Fernandez",Supermarket,"Unit 8327 Box 2560
DPO AP 34781",Mcclainfurt,(268)645-8829,319,Chicken,47,2025-03-30,Supermarket,Mcclainfurt,Vegetarian,Snacks
65,Fletcher Inc,Grocery Store,"5294 William Underpass
North Angelaborough, TN 26906",Lake Raymondton,+1-445-003-6513,691,Rice,21,2025-03-28,Grocery Store,Lake Raymondton,Vegan,Dinner
66,Lambert-Wilson,Restaurant,"2162 Johnson Field
East Caroline, AZ 13953",Lake Michaelfurt,+1-552-690-1512x083,278,Soup,35,2025-03-24,Restaurant,Lake Michaelfurt,Non-Vegetarian,Lunch
66,Lambert-Wilson,Restaurant,"2162 Johnson Field
East Caroline, AZ 13953",Lake Michaelfurt,+1-552-690-1512x083,961,Soup,22,2025-03-25,Restaurant,Lake Michaelfurt,Non-Vegetarian,Lunch
67,Shannon Ltd,Restaurant,"8692 Adam Passage
Davidland, WI 15372",Kentland,401-441-2366x8513,850,Dairy,22,2025-03-26,Restaurant,Kentland,Vegan,Breakfast
68,Sherman-Wolfe,Supermarket,"0312 Garcia Ferry
Port Deannaberg, DC 72769",North Elizabeth,001-797-628-1681x740,569,Fish,20,2025-03-25,Supermarket,North Elizabeth,Vegan,Lunch
71,Jones-Edwards,Restaurant,"861 Martinez Junctions
Smithburgh, WA 68091",Ruizmouth,(077)105-8283,356,Fish,27,2025-03-20,Restaurant,Ruizmouth,Vegan,Lunch
71,Jones-Edwards,Restaurant,"861 Martinez Junctions
Smithburgh, WA 68091",Ruizmouth,(077)105-8283,365,Fruits,48,2025-03-27,Restaurant,Ruizmouth,Non-Vegetarian,Dinner
72,"Ward, Shepherd and Krause",Catering Service,"224 Burns Camp
Christopherborough, VA 76601",Jasonstad,+1-454-823-5622,651,Pasta,36,2025-03-16,Catering Service,Jasonstad,Non-Vegetarian,Snacks
72,"Ward, Shepherd and Krause",Catering Service,"224 Burns Camp
Christopherborough, VA 76601",Jasonstad,+1-454-823-5622,839,Chicken,6,2025-03-17,Catering Service,Jasonstad,Vegan,Lunch
74,Johnston Ltd,Catering Service,"58406 Pamela Mission
Leestad, OH 88592",Belindaville,5630753213,15,Salad,3,2025-03-22,Catering Service,Belindaville,Vegetarian,Breakfast
74,Johnston Ltd,Catering Service,"58406 Pamela Mission
Leestad, OH 88592",Belindaville,5630753213,779,Bread,43,2025-03-27,Catering Service,Belindaville,Vegan,Lunch
76,Clark-Estes,Restaurant,"1854 Michael Locks Suite 076
Shaneland, AZ 73210",Port Amandamouth,001-879-812-0126x19146,762,Soup,4,2025-03-23,Restaurant,Port Amandamouth,Vegetarian,Snacks
78,Frazier LLC,Restaurant,"115 Danielle Oval Apt. 679
Port Jessica, AZ 21218",North Susan,5883270069,876,Salad,38,2025-03-20,Restaurant,North Susan,Vegan,Snacks
82,Carey-Richardson,Supermarket,"352 Moore Greens Suite 745
Deborahtown, NV 83580",West Lauraborough,468.906.0755x92529,952,Pasta,32,2025-03-28,Supermarket,West Lauraborough,Vegan,Dinner
84,Atkins Group,Restaurant,"2205 Sharp Junction Suite 771
Drakefurt, KY 14437",Marthaside,+1-318-669-6985x63710,438,Dairy,46,2025-03-20,Restaurant,Marthaside,Vegetarian,Breakfast
85,Larson Ltd,Catering Service,"335 Roberts Neck Apt. 867
Samanthaborough, RI 60340",Christopherstad,370.601.0512x89954,462,Soup,22,2025-03-23,Catering Service,Christopherstad,Vegan,Dinner
86,Murphy-Boyd,Catering Service,"7105 James Overpass
Wilsonberg, NC 47111",New Michelle,387-962-7399x435,381,Pasta,35,2025-03-18,Catering Service,New Michelle,Vegan,Dinner
87,"Young, Townsend and Mccarthy",Grocery Store,"4577 Shannon Tunnel Suite 786
Jamesview, CT 96322",West Adam,001-286-579-2810x1913,137,Pasta,29,2025-03-19,Grocery Store,West Adam,Vegetarian,Snacks
87,"Young, Townsend and Mccarthy",Grocery Store,"4577 Shannon Tunnel Suite 786
Jamesview, CT 96322",West Adam,001-286-579-2810x1913,682,Pasta,30,2025-03-25,Grocery Store,West Adam,Vegetarian,Snacks
87,"Young, Townsend and Mccarthy",Grocery Store,"4577 Shannon Tunnel Suite 786
Jamesview, CT 96322",West Adam,001-286-579-2810x1913,898,Fish,28,2025-03-27,Grocery Store,West Adam,Non-Vegetarian,Breakfast
88,"Oliver, Williams and Rich",Restaurant,"2297 Dunlap Plains
South Shannon, MT 97282",Salastown,+1-509-255-9684x4064,575,Pasta,15,2025-03-18,Restaurant,Salastown,Non-Vegetarian,Breakfast
90,Miller Group,Supermarket,"8851 Powell Cliffs Apt. 635
South Michael, MO 83778",Lake Kristentown,001-311-806-0098x37361,165,Bread,22,2025-03-28,Supermarket,Lake Kristentown,Vegetarian,Lunch
93,"Davis, Vaughan and Shepherd",Supermarket,"89992 Quinn Plain Apt. 912
North Laura, IN 05742",New Daniel,(147)151-2023x6618,553,Salad,36,2025-03-24,Supermarket,New Daniel,Vegan,Breakfast
95,Orr Inc,Supermarket,"5940 Klein Junctions
Jenniferborough, PA 44116",Christinaland,+1-415-991-8966,26,Vegetables,34,2025-03-27,Supermarket,Christinaland,Vegan,Dinner
96,"Pierce, Walsh and Rogers",Grocery Store,"8840 Edwards Square Suite 343
Kimside, NE 41307",Deborahland,+1-065-024-5251x529,11,Pasta,39,2025-03-17,Grocery Store,Deborahland,Vegan,Breakfast
97,King-Snyder,Supermarket,"615 Barnett Circles
Jamesfort, CT 76455",Reyesshire,+1-494-177-0520x17816,857,Pasta,47,2025-03-17,Supermarket,Reyesshire,Vegetarian,Dinner
98,Hogan-Johnston,Supermarket,"00006 Amy Wall Apt. 134
Zimmermanborough, PA 57869",Gardnerfort,184-472-6932,228,Rice,12,2025-03-29,Supermarket,Gardnerfort,Vegetarian,Snacks
98,Hogan-Johnston,Supermarket,"00006 Amy Wall Apt. 134
Zimmermanborough, PA 57869",Gardnerfort,184-472-6932,552,Dairy,44,2025-03-21,Supermarket,Gardnerfort,Vegetarian,Dinner
98,Hogan-Johnston,Supermarket,"00006 Amy Wall Apt. 134
Zimmermanborough, PA 57869",Gardnerfort,184-472-6932,983,Fruits,43,2025-03-22,Supermarket,Gardnerfort,Vegetarian,Lunch
100,Greene-Garcia,Catering Service,"USS Smith
FPO AE 39123",Mooreview,155.846.6299,79,Rice,25,2025-03-19,Catering Service,Mooreview,Vegan,Breakfast
101,Chambers-Waters,Restaurant,"56762 Kimberly Light Suite 474
Matthewmouth, UT 45275",East Angelafort,001-230-322-3448x38934,258,Fish,24,2025-03-21,Restaurant,East Angelafort,Vegetarian,Breakfast
101,Chambers-Waters,Restaurant,"56762 Kimberly Light Suite 474
Matthewmouth, UT 45275",East Angelafort,001-230-322-3448x38934,336,Dairy,36,2025-03-23,Restaurant,East Angelafort,Non-Vegetarian,Snacks
102,"Hester, Bowers and Carpenter",Grocery Store,"913 Jennifer Mountain Suite 645
Burnsborough, VT 02798",West Samantha,+1-699-911-5500x712,493,Fish,26,2025-03-30,Grocery Store,West Samantha,Vegetarian,Snacks
103,Russell-Summers,Catering Service,"84247 Emily Fords Apt. 478
North Michael, RI 76457",Port Michaelshire,314-232-3936x08469,171,Salad,25,2025-03-22,Catering Service,Port Michaelshire,Vegetarian,Snacks
104,Jackson LLC,Catering Service,"254 Brandon Lodge
Michaelton, NE 66307",Lake Theresa,001-488-905-7389,615,Salad,11,2025-03-23,Catering Service,Lake Theresa,Vegetarian,Breakfast
107,"Pollard, Tyler and Davis",Restaurant,"120 Johnson Mountains
New Daniel, WI 58864",West Lauraborough,7599766878,267,Soup,6,2025-03-30,Restaurant,West Lauraborough,Non-Vegetarian,Dinner
107,"Pollard, Tyler and Davis",Restaurant,"120 Johnson Mountains
New Daniel, WI 58864",West Lauraborough,7599766878,348,Fish,21,2025-03-27,Restaurant,West Lauraborough,Vegetarian,Lunch
108,Williams-Cox,Supermarket,"400 Ross Radial
Francomouth, MT 80264",East Austin,082.114.2329,35,Rice,6,2025-03-23,Supermarket,East Austin,Vegan,Breakfast
108,Williams-Cox,Supermarket,"400 Ross Radial
Francomouth, MT 80264",East Austin,082.114.2329,713,Fish,7,2025-03-26,Supermarket,East Austin,Vegan,Snacks
108,Williams-Cox,Supermarket,"400 Ross Radial
Francomouth, MT 80264",East Austin,082.114.2329,717,Salad,40,2025-03-16,Supermarket,East Austin,Non-Vegetarian,Breakfast
110,Figueroa-Soto,Grocery Store,"113 Donna Pass
Port Michaelchester, NE 39187",South Kellyville,(599)442-0494,1,Bread,43,2025-03-17,Grocery Store,South Kellyville,Non-Vegetarian,Breakfast
111,Ball-Church,Supermarket,"096 Robin Walks Suite 454
Foxburgh, NC 51501",South Davidside,(352)764-4709,573,Fish,40,2025-03-30,Supermarket,South Davidside,Vegetarian,Snacks
112,"Webb, Graves and Harrison",Restaurant,"3538 Fields Vista Suite 058
West Sonya, IN 53745",East Courtneymouth,935.714.9134x34359,261,Pasta,15,2025-03-21,Restaurant,East Courtneymouth,Non-Vegetarian,Lunch
113,"Anderson, Nicholson and Bruce",Catering Service,"8546 James Fields Apt. 534
Hallborough, AL 55990",East Elizabethberg,+1-274-720-0033x1795,68,Rice,15,2025-03-25,Catering Service,East Elizabethberg,Vegetarian,Snacks
113,"Anderson, Nicholson and Bruce",Catering Service,"8546 James Fields Apt. 534
Hallborough, AL 55990",East Elizabethberg,+1-274-720-0033x1795,252,Chicken,18,2025-03-19,Catering Service,East Elizabethberg,Non-Vegetarian,Snacks
113,"Anderson, Nicholson and Bruce",Catering Service,"8546 James Fields Apt. 534
Hallborough, AL 55990",East Elizabethberg,+1-274-720-0033x1795,294,Bread,40,2025-03-19,Catering Service,East Elizabethberg,Vegan,Dinner
115,Wells-Davis,Grocery Store,"16029 Lisa Junctions
Port Mary, AZ 64519",Floresville,322.221.0619x89960,13,Fruits,33,2025-03-22,Grocery Store,Floresville,Vegetarian,Snacks
116,Mcdaniel-Morales,Grocery Store,"683 Damon Groves
Port Michael, NE 84293",Moseshaven,001-702-836-3122,546,Pasta,33,2025-03-24,Grocery Store,Moseshaven,Vegan,Snacks
117,"Morales, Wood and Cox",Restaurant,"046 Madeline Plain Apt. 669
Smithbury, MS 53261",Amberton,468.025.0721x72227,444,Dairy,27,2025-03-27,Restaurant,Amberton,Non-Vegetarian,Lunch
117,"Morales, Wood and Cox",Restaurant,"046 Madeline Plain Apt. 669
Smithbury, MS 53261",Amberton,468.025.0721x72227,675,Soup,25,2025-03-26,Restaurant,Amberton,Vegan,Dinner
118,Evans-Harrison,Supermarket,"2430 Michael Branch
Lake Brian, CA 67262",Lake Joseph,066.832.7189x65581,951,Vegetables,20,2025-03-16,Supermarket,Lake Joseph,Vegan,Lunch
120,Burns-Davis,Restaurant,"100 Jill Trail Suite 664
Danielmouth, TX 62651",New Lisa,+1-749-554-2482x64065,95,Pasta,19,2025-03-24,Restaurant,New Lisa,Vegan,Snacks
122,Mosley-Hernandez,Catering Service,"02866 John Causeway
Markberg, RI 91177",Tyronebury,+1-477-159-2443x576,213,Fruits,20,2025-03-26,Catering Service,Tyronebury,Non-Vegetarian,Snacks
123,Stephens-Stephens,Grocery Store,"794 Horne Track Apt. 542
East Mariaport, AK 95122",East Meganfort,+1-970-818-8098x124,502,Dairy,40,2025-03-19,Grocery Store,East Meganfort,Vegan,Lunch
124,"Allen, Zimmerman and Harrington",Supermarket,"PSC 7915, Box 6921
APO AE 81937",Lake Shelby,832-646-1114x86947,911,Fish,5,2025-03-21,Supermarket,Lake Shelby,Vegetarian,Dinner
125,Brown-Grimes,Supermarket,"71570 Jason Spurs Apt. 697
Melissaton, ID 56125",Lake April,492-029-0285x3479,56,Vegetables,9,2025-03-23,Supermarket,Lake April,Non-Vegetarian,Lunch
125,Brown-Grimes,Supermarket,"71570 Jason Spurs Apt. 697
Melissaton, ID 56125",Lake April,492-029-0285x3479,734,Vegetables,5,2025-03-27,Supermarket,Lake April,Non-Vegetarian,Lunch
126,"Jackson, Gonzalez and Smith",Supermarket,"99197 Jensen Inlet
Juliaside, AK 27283",New Rodneyville,(590)652-0264x4365,334,Bread,17,2025-03-19,Supermarket,New Rodneyville,Non-Vegetarian,Snacks
126,"Jackson, Gonzalez and Smith",Supermarket,"99197 Jensen Inlet
Juliaside, AK 27283",New Rodneyville,(590)652-0264x4365,436,Pasta,6,2025-03-26,Supermarket,New Rodneyville,Vegan,Snacks
127,Vasquez LLC,Restaurant,"70060 Chelsea Trace Suite 180
Lopezburgh, AR 16869",Jasonland,731.947.3123,709,Chicken,15,2025-03-20,Restaurant,Jasonland,Vegetarian,Breakfast
129,Hicks Ltd,Restaurant,"4349 Michael Fort
South Melissa, ND 26423",Port Emily,510.799.8149x819,494,Bread,41,2025-03-24,Restaurant,Port Emily,Vegetarian,Breakfast
133,Baker LLC,Catering Service,"881 Thomas Valleys Apt. 842
South Danielleland, OR 09264",South Michaelberg,423-570-5106,403,Bread,25,2025-03-28,Catering Service,South Michaelberg,Non-Vegetarian,Breakfast
133,Baker LLC,Catering Service,"881 Thomas Valleys Apt. 842
South Danielleland, OR 09264",South Michaelberg,423-570-5106,484,Bread,15,2025-03-22,Catering Service,South Michaelberg,Vegan,Snacks
134,Cook Ltd,Supermarket,"15130 Parker Hill
Adkinsville, MN 48860",West Melissa,(340)959-7188x4581,167,Fish,4,2025-03-20,Supermarket,West Melissa,Vegetarian,Lunch
